"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"27","64353","CSCI 381 (3, 3)","VT: Special Topics in Comp Sci","T, TH","1:40 PM - 2:55 PM","Whitehead, Jennifer","SB B145","26","26","In-Person",
"25","64349","CSCI 381 (3, 3)","VT: Special Topics in Comp Sci","T, TH","12:15 PM - 1:30 PM","Sy, Bon","SB B131","29","29","In-Person",
"23","64345","CSCI 381 (3, 3)","VT: Special Topics in Comp Sci","M, W","3:10 PM - 4:25 PM","Tao, Xiaopeng","SB B141","28","28","In-Person",
"60","93746","CSCI 3913 (3, 3)","VT: Honors Problems Comp Sci","&nbsp;"," - ","Xiang, Zhigang"," ","1","1","In-Person",
"60","89910","CSCI 3981 (3, 1)","Internship","&nbsp;"," - ","Yukawa, Keitaro"," ","2","2","In-Person",
"11","64332","CSCI 700 (3, 3)","Algorithms I","M, W","9:15 AM - 10:30 AM","Goldberg, Robert","SB B145","2","4","In-Person",
"32","64334","CSCI 700 (3, 3)","Algorithms I","T, TH","5:00 PM - 6:15 PM","Phillips, Tsaiyun","SB B145","3","4","In-Person",
"33","64336","CSCI 700 (3, 3)","Algorithms I","T, TH","8:00 PM - 9:15 PM","Phillips, Tsaiyun","SB B145","0","4","In-Person",
"11","64338","CSCI 711 (3, 3)","Database Systems","M, W","10:45 AM - 12:00 PM","Obrenic, Bojana","RE 017","4","6","In-Person",
"34","64348","CSCI 715 (3, 3)","Distributed Computing","M, W","5:00 PM - 6:15 PM","Fluture, Simina","SB B145","13","16","In-Person",
"31","64360","CSCI 722 (3, 3)","Computability and Complexity","T, TH","8:00 PM - 9:15 PM","Yukawa, Keitaro","SB B141","12","18","In-Person",
"31","64359","CSCI 731 (3, 3)","Software Develop Prac&#173;ticum","M, W","6:30 PM - 7:45 PM","Goldberg, Robert","SB B131","5","18","In-Person",
"33","64342","CSCI 744 (3, 3)","Comp Architecture &amp; Networks","M, W","8:30 PM - 9:45 PM","Upadhyay, Vivek","SB C205","21","22","In-Person",
"23","64346","CSCI 780 (3, 3)","Special Topics in Computer Sci","M, W","3:10 PM - 4:25 PM","Tao, Xiaopeng","SB B141","6","10","In-Person",
"25","64350","CSCI 780 (3, 3)","Special Topics in Computer Sci","T, TH","12:15 PM - 1:30 PM","Sy, Bon","SB B131","1","1","In-Person",
"39","64358","CSCI 780 (3, 3)","Special Topics in Computer Sci","T, TH","5:00 PM - 6:15 PM","Yukawa, Keitaro","SB C205","0","16","In-Person",
