"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"10","39753","MATH 115 (3, 3)","Coll Alg For Precalc","M, W","7:45 AM - 9:00 AM","Greenman, Jennifer","KY 283","26","25","In-Person",
"09","39750","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","12:15 PM - 1:30 PM","Kalra, Priya","KY 326","29","25","In-Person",
"08","39747","MATH 115 (3, 3)","Coll Alg For Precalc","M, W","10:45 AM - 12:00 PM","Morhaime, Ann Marie","KY 324","27","25","In-Person",
"07","39746","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","10:45 AM - 12:00 PM","Tousi-Hakimian, Afsaneh","KY 414","27","25","In-Person",
"06","39740","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","9:15 AM - 10:30 AM","Auman, Richard","KY 414","26","25","In-Person",
"05","39734","MATH 115 (3, 3)","Coll Alg For Precalc","M, W","1:40 PM - 2:55 PM","Gaugler, Todd","KY 324","26","25","In-Person",
"04","39730","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","3:10 PM - 4:25 PM","Tousi-Hakimian, Afsaneh","KY 334","29","25","In-Person",
"03","39729","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","5:00 PM - 6:15 PM","Weiss, Robert","KY 420","14","15","In-Person",
"02","39725","MATH 115 (3, 3)","Coll Alg For Precalc","M, W","5:00 PM - 6:15 PM","Gregorian, Christina","KY 420","26","25","In-Person",
"01","39723","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","6:30 PM - 7:45 PM","Wolf-Sonkin, Valerie","KY 434","22","25","In-Person",
"16","40515","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","12:10 PM - 2:00 PM","Greenman, Jennifer","KY 313","16","20","In-Person",
"QI1","56005","MATH 115 (3, 3)","Coll Alg For Precalc","&nbsp;"," - ","Penagos, Julio"," ","23","22","In-Person",
"QI2","56006","MATH 115 (3, 3)","Coll Alg For Precalc","&nbsp;"," - ","Penagos, Julio"," ","16","15","In-Person",
"15","40510","MATH 115 (3, 3)","Coll Alg For Precalc","T, TH","10:05 AM - 11:55 AM","Greenman, Jennifer","KY 313","20","20","In-Person",
